Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
MKW4_00281,0.0,0.0,0.020353,0.0,0.0,0.0,0.0,0.0
MKW4_00282,0.0,0.0,0.0221618,0.0,0.0,0.0,0.0,0.0
MKW4_00283,0.0,0.0,0.021940727,0.0,0.0,0.0,0.0,0.0
MKW4_00284,0.0,0.0,0.020733526,0.0,0.0,0.0,0.0,0.0
MKW4_00285,0.0,0.0,0.021227082,0.0,0.0,0.0,0.0,0.0
MKW4_00286,0.0,0.0,0.021423,0.0,0.0,0.0,0.0,0.0
MKW4_00287,0.0,0.0,0.0203,0.0,0.0,0.0,0.0,0.0
MKW4_00288,0.0,0.0,0.019759078,0.0,0.0,0.0,0.0,0.0
MKW4_00289,0.0,0.0,0.019938083,0.0,0.0,0.0,0.0,0.0
MKW4_00290,0.0,0.0,0.02102,0.0,0.0,0.0,0.0,0.0
MKW4_00291,0.0,0.0,0.02136548,0.0,0.0,0.0,0.0,0.0
MKW4_00292,0.0,0.0,0.020372,0.0,0.0,0.0,0.0,0.0
MKW4_00293,0.0,0.0,0.020139845,0.0,0.0,0.0,0.0,0.0
MKW4_00294,0.0,0.0,0.021307,0.0,0.0,0.0,0.0,0.0
MKW4_00295,0.0,0.0,0.020446,0.0,0.0,0.0,0.0,0.0
MKW4_00296,0.0,0.0,0.020587,0.0,0.0,0.0,0.0,0.0
MKW4_00297,0.0,0.0,0.020878,0.0,0.0,0.0,0.0,0.0
MKW4_00298,0.0,0.0,0.019440576,0.0,0.0,0.0,0.0,0.0
MKW4_00299,0.0,0.0,0.020941,0.0,0.0,0.0,0.0,0.0
MKW4_00300,0.0,0.0,0.019607,0.0,0.0,0.0,0.0,0.0
MKW4_00301,0.0,0.0,0.019169053,0.0,0.0,0.0,0.0,0.0
MKW4_00302,0.0,0.0,0.02082506,0.0,0.0,0.0,0.0,0.0
MKW4_00303,0.0,0.0,0.021770248,0.0,0.0,0.0,0.0,0.0
MKW4_00304,0.0,0.0,0.0215544,0.0,0.0,0.0,0.0,0.0
MKW4_00305,0.0,0.0,0.0211421,0.0,0.0,0.0,0.0,0.0
MKW4_00306,0.0,0.0,0.020467,0.0,0.0,0.0,0.0,0.0
MKW4_00307,0.0,0.0,0.020671,0.0,0.0,0.0,0.0,0.0
MKW4_00308,0.0,0.0,0.018906,0.0,0.0,0.0,0.0,0.0
MKW4_00309,0.0,0.0,0.020764276,0.0,0.0,0.0,0.0,0.0
MKW4_00310,0.0,0.0,0.021337,0.0,0.0,0.0,0.0,0.0
MKW4_00311,0.0,0.0,0.0204495,0.0,0.0,0.0,0.0,0.0
MKW4_00312,0.0,0.0,0.0206597,0.0,0.0,0.0,0.0,0.0
MKW4_00313,0.0,0.0,0.020523,0.0,0.0,0.0,0.0,0.0
MKW4_00314,0.0,0.0,0.02084078,0.0,0.0,0.0,0.0,0.0
